dateOfPrediction,predictedRate,2012,2013,2014,2015,2016,2017,longer_run
2012-01-01,0.25,14,11,6,,,,
2012-01-01,0.5,1,1,2,,,,
2012-01-01,0.75,,2,1,,,,
2012-01-01,1,2,1,2,,,,
2012-01-01,1.25,,,,,,,
2012-01-01,1.5,,,1,,,,
2012-01-01,1.75,,1,,,,,
2012-01-01,2,,1,1,,,,
2012-01-01,2.25,,,,,,,
2012-01-01,2.5,,,3,,,,
2012-01-01,2.75,,,1,,,,
2012-01-01,3,,,,,,,
2012-01-01,3.25,,,,,,,
2012-01-01,3.5,,,,,,,
2012-01-01,3.75,,,,,,,1
2012-01-01,4,,,,,,,7
2012-01-01,4.25,,,,,,,3
2012-01-01,4.5,,,,,,,6
2012-04-01,0.25,14,11,4,,,,
2012-04-01,0.5,1,,3,,,,
2012-04-01,0.75,,1,,,,,
2012-04-01,1,1,2,2,,,,
2012-04-01,1.25,1,1,,,,,
2012-04-01,1.5,,,1,,,,
2012-04-01,1.75,,2,,,,,
2012-04-01,2,,,2,,,,
2012-04-01,2.25,,,1,,,,
2012-04-01,2.5,,,3,,,,
2012-04-01,2.75,,,1,,,,
2012-04-01,3,,,,,,,
2012-04-01,3.25,,,,,,,
2012-04-01,3.5,,,,,,,1
2012-04-01,3.75,,,,,,,1
2012-04-01,4,,,,,,,6
2012-04-01,4.25,,,,,,,2
2012-04-01,4.5,,,,,,,7
2012-09-01,0.25,18,15,13,1,,,
2012-09-01,0.5,1,2,,2,,,
2012-09-01,0.75,,1,,3,,,
2012-09-01,1,,,,4,,,
2012-09-01,1.25,,,,,,,
2012-09-01,1.5,,,2,3,,,
2012-09-01,1.75,,1,2,,,,
2012-09-01,2,,,,,,,
2012-09-01,2.25,,,,,,,
2012-09-01,2.5,,,1,2,,,
2012-09-01,2.75,,,,,,,
2012-09-01,3,,,1,,,,1
2012-09-01,3.25,,,,,,,
2012-09-01,3.5,,,,1,,,1
2012-09-01,3.75,,,,1,,,2
2012-09-01,4,,,,1,,,6
2012-09-01,4.25,,,,,,,5
2012-09-01,4.5,,,,1,,,4
2012-12-01,0.25,19,17,14,1,,,
2012-12-01,0.5,,1,1,5,,,
2012-12-01,0.75,,,,3,,,
2012-12-01,1,,1,,3,,,
2012-12-01,1.25,,,,2,,,
2012-12-01,1.5,,,2,,,,
2012-12-01,1.75,,,1,,,,
2012-12-01,2,,,,1,,,
2012-12-01,2.25,,,,,,,
2012-12-01,2.5,,,,1,,,
2012-12-01,2.75,,,1,,,,
2012-12-01,3,,,,,,,1
2012-12-01,3.25,,,,,,,
2012-12-01,3.5,,,,1,,,1
2012-12-01,3.75,,,,1,,,3
2012-12-01,4,,,,,,,5
2012-12-01,4.25,,,,,,,6
2012-12-01,4.5,,,,1,,,3
2013-03-01,0.25,,18,14,1,,,
2013-03-01,0.5,,,1,7,,,
2013-03-01,0.75,,,,1,,,
2013-03-01,1,,1,2,2,,,
2013-03-01,1.25,,,,4,,,
2013-03-01,1.5,,,,,,,
2013-03-01,1.75,,,1,,,,
2013-03-01,2,,,,1,,,
2013-03-01,2.25,,,,,,,
2013-03-01,2.5,,,,,,,
2013-03-01,2.75,,,1,,,,
2013-03-01,3,,,,1,,,
2013-03-01,3.25,,,,,,,1
2013-03-01,3.5,,,,,,,2
2013-03-01,3.75,,,,1,,,1
2013-03-01,4,,,,,,,9
2013-03-01,4.25,,,,,,,3
2013-03-01,4.5,,,,1,,,3
2013-06-01,0.25,,18,15,1,,,
2013-06-01,0.5,,1,,2,,,
2013-06-01,0.75,,,,3,,,
2013-06-01,1,,,3,4,,,
2013-06-01,1.25,,,,2,,,
2013-06-01,1.5,,,1,3,,,
2013-06-01,1.75,,,,,,,
2013-06-01,2,,,,1,,,
2013-06-01,2.25,,,,,,,
2013-06-01,2.5,,,,,,,
2013-06-01,2.75,,,,,,,
2013-06-01,3,,,,3,,,
2013-06-01,3.25,,,,,,,1
2013-06-01,3.5,,,,,,,2
2013-06-01,3.75,,,,,,,1
2013-06-01,4,,,,,,,9
2013-06-01,4.25,,,,,,,3
2013-06-01,4.5,,,,,,,3
2013-09-01,0.25,,17,14,2,,,
2013-09-01,0.5,,,,1,1,,
2013-09-01,0.75,,,,5,,,
2013-09-01,1,,,2,3,1,,
2013-09-01,1.25,,,1,1,,,
2013-09-01,1.5,,,,2,1,,
2013-09-01,1.75,,,,,5,,
2013-09-01,2,,,,,2,,
2013-09-01,2.25,,,,,,,
2013-09-01,2.5,,,,,2,,
2013-09-01,2.75,,,,,2,,
2013-09-01,3,,,,2,,,
2013-09-01,3.25,,,,1,,,1
2013-09-01,3.5,,,,,,,2
2013-09-01,3.75,,,,,,,1
2013-09-01,4,,,,,2,,10
2013-09-01,4.25,,,,,1,,3
2013-12-01,0.25,,17,15,3,,,
2013-12-01,0.5,,,,3,1,,
2013-12-01,0.75,,,1,4,,,
2013-12-01,1,,,,2,1,,
2013-12-01,1.25,,,1,1,1,,
2013-12-01,1.5,,,,1,2,,
2013-12-01,1.75,,,,,4,,
2013-12-01,2,,,,1,1,,
2013-12-01,2.25,,,,,,,
2013-12-01,2.5,,,,,2,,
2013-12-01,2.75,,,,1,1,,
2013-12-01,3,,,,,1,,
2013-12-01,3.25,,,,1,1,,
2013-12-01,3.5,,,,,,,4
2013-12-01,3.75,,,,,,,2
2013-12-01,4,,,,,1,,9
2013-12-01,4.25,,,,,1,,2
2014-03-01,0.25,,,15,2,,,
2014-03-01,0.5,,,,2,,,
2014-03-01,0.75,,,,2,1,,
2014-03-01,1,,,1,5,,,
2014-03-01,1.25,,,,1,1,,
2014-03-01,1.5,,,,1,,,
2014-03-01,1.75,,,,,2,,
2014-03-01,2,,,,1,3,,
2014-03-01,2.25,,,,1,2,,
2014-03-01,2.5,,,,,1,,
2014-03-01,2.75,,,,,2,,
2014-03-01,3,,,,1,1,,
2014-03-01,3.25,,,,,,,
2014-03-01,3.5,,,,,1,,4
2014-03-01,3.75,,,,,,,2
2014-03-01,4,,,,,1,,8
2014-03-01,4.25,,,,,1,,2
2014-06-01,0.25,,,15,3,,,
2014-06-01,0.5,,,,1,1,,
2014-06-01,0.75,,,,1,,,
2014-06-01,1,,,1,3,1,,
2014-06-01,1.25,,,,3,1,,
2014-06-01,1.5,,,,1,,,
2014-06-01,1.75,,,,1,,,
2014-06-01,2,,,,1,2,,
2014-06-01,2.25,,,,1,2,,
2014-06-01,2.5,,,,,2,,
2014-06-01,2.75,,,,,1,,
2014-06-01,3,,,,1,2,,
2014-06-01,3.25,,,,,,,1
2014-06-01,3.5,,,,,1,,3
2014-06-01,3.75,,,,,1,,7
2014-06-01,4,,,,,1,,3
2014-06-01,4.25,,,,,1,,2
2014-09-01,0.125,,,16,2,,,
2014-09-01,0.25,,,,,,,
2014-09-01,0.375,,,,1,1,,
2014-09-01,0.5,,,,,,,
2014-09-01,0.625,,,,,,,
2014-09-01,0.75,,,,,,,
2014-09-01,0.875,,,1,3,,,
2014-09-01,1,,,,,,,
2014-09-01,1.125,,,,2,1,,
2014-09-01,1.25,,,,,,,
2014-09-01,1.375,,,,3,,,
2014-09-01,1.5,,,,,,,
2014-09-01,1.625,,,,1,1,,
2014-09-01,1.75,,,,,,,
2014-09-01,1.875,,,,4,,,
2014-09-01,2,,,,,,1,
2014-09-01,2.125,,,,,2,,
2014-09-01,2.25,,,,,,,
2014-09-01,2.375,,,,,2,,
2014-09-01,2.5,,,,,,,
2014-09-01,2.625,,,,,1,1,
2014-09-01,2.75,,,,,,,
2014-09-01,2.875,,,,1,2,,
2014-09-01,3,,,,,1,,
2014-09-01,3.125,,,,,1,3,
2014-09-01,3.25,,,,,,,1
2014-09-01,3.375,,,,,1,2,
2014-09-01,3.5,,,,,,,3
2014-09-01,3.625,,,,,,1,
2014-09-01,3.75,,,,,,2,6
2014-09-01,3.875,,,,,3,3,2
2014-09-01,4,,,,,1,1,3
2014-09-01,4.125,,,,,,1,
2014-09-01,4.25,,,,,,1,2
2014-09-01,4.375,,,,,,1,
2014-09-01,4.5,,,,,,,
2014-12-01,0.125,,,17,2,,,
2014-12-01,0.25,,,,,,,
2014-12-01,0.375,,,,,1,,
2014-12-01,0.5,,,,,,,
2014-12-01,0.625,,,,2,,,
2014-12-01,0.75,,,,,,,
2014-12-01,0.875,,,,4,,,
2014-12-01,1,,,,,,,
2014-12-01,1.125,,,,3,1,,
2014-12-01,1.25,,,,,,,
2014-12-01,1.375,,,,,,,
2014-12-01,1.5,,,,,,,
2014-12-01,1.625,,,,2,,,
2014-12-01,1.75,,,,,,,
2014-12-01,1.875,,,,4,2,,
2014-12-01,2,,,,,,1,
2014-12-01,2.125,,,,,3,,
2014-12-01,2.25,,,,,,,
2014-12-01,2.375,,,,,1,,
2014-12-01,2.5,,,,,1,,
2014-12-01,2.625,,,,,1,1,
2014-12-01,2.75,,,,,,,
